ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1208.358	11.806	1145.484	805.764	3	0	0	26071	17	24796	17381	28	7	27	19	28	290	0	1851.703156709671	500	1851.703156709671	210	58.0	
122.006	9.402061855670103	91.77577319587628	64.55670103092784	3	1	291	1300	20.0	1246.0	867.0	17	7.0	25.0	18.0	40	327	0	479.9957733154297	1000	2331.6989300251007	376	62.4	
105.748	9.206	69.834	49.208	3	2	547	1300	20	1243	867	16	7	25	18	28	360	0	593.1549851894379	1500	2924.8539152145386	579	61.4	
118.074	9.488	66.318	46.886	3	3	779	1300	20	1243	867	16	7	25	18	37	403	0	604.6220514774323	2000	3529.475966691971	787	60.65	
117.662	9.548	68.48	48.398	3	4	951	1300	20	1243	867	18	7	25	18	47	447	0	770.3142154216766	2500	4299.7901821136475	1059	57.64	
124.506	9.512	68.448	48.392	4	5	1106	1300	20	1243	867	22	7	25	18	59	483	0	824.599981546402	3000	5124.390163660049	1352	54.93333333333334	
120.416	9.338	57.614	40.844	5	6	1261	768	20	737	512	19	7	25	18	56	512	0	856.2373442649841	3500	5980.627507925034	1650	52.85714285714286	
110.712	9.032	44.18	31.392	8	7	1423	492	20	332	231	19	7	25	18	36	547	0	805.668336391449	4000	6786.2958443164825	1931	51.725	
111.906	8.844	39.424	28.034	13	8	1548	486	20	320	222	14	7	25	18	23	584	0	906.2604467868805	4500	7692.556291103363	2252	49.955555555555556	
117.27	8.838	39.274	27.864	17	9	1660	486	20	320	222	14	7	25	18	25	612	0	954.4811124801636	5000	8647.037403583527	2597	48.06	
120.05	8.764	38.08	27.02	9	10	1783	486	20	320	222	14	7	25	18	21	641	0	923.5786905288696	5500	9570.616094112396	2930	46.72727272727273	
124.138	8.754	37.584	26.674	12	11	1891	486	20	320	222	14	7	25	18	20	681	0	926.383392572403	6000	10496.9994866848	3269	45.51666666666667	
130.66	8.638	36.794	26.022	15	12	2009	486	20	320	222	14	7	25	18	21	702	0	959.5727868080139	6500	11456.572273492813	3616	44.369230769230775	
137.97	8.602	36.488	25.74	10	13	2115	478	20	320	222	14	7	25	18	22	726	0	975.8405592441559	7000	12432.412832736969	3965	43.35714285714286	
