ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1397.36	11.68	1324.22	931.78	5	0	0	13135	17	12418	8757	30	7	28	20	8	26	0	397.5828549861908	50	397.5828549861908	24	52.0	
93.96	9.326086956521738	68.26086956521739	48.08695652173913	5	1	26	526	15.0	506.0	351.0	30	7.0	28.0	19.0	10	28	0	177.1841914653778	100	574.7670464515686	46	54.0	
107.5	9.42	67.3	47.38	5	2	62	526	15	506	351	30	7	25	18	10	31	0	88.86324572563171	150	663.6302921772003	57	62.0	
96.06	9.72	74.26	52.32	6	3	91	526	15	506	351	25	7	25	18	12	35	0	143.1627902984619	200	806.7930824756622	74	63.0	
97.68	9.82	72.72	51.26	6	4	119	526	15	506	351	25	7	26	19	13	39	0	149.2048442363739	250	955.9979267120361	92	63.2	
102.36	9.96	79.94	56.3	6	5	146	526	15	506	351	25	7	28	19	11	44	0	151.76620078086853	300	1107.7641274929047	110	63.333333333333336	
117.48	9.98	79.58	56.08	10	6	174	526	16	506	351	25	7	26	19	8	47	0	161.8292851448059	350	1269.5934126377106	129	63.142857142857146	
125.14	9.94	80.48	56.78	11	7	192	526	16	506	351	31	7	26	19	7	51	0	217.0872323513031	400	1486.6806449890137	155	61.25	
109.26	9.96	70.66	50.02	11	8	215	440	16	280	197	19	7	26	19	7	52	0	216.17382383346558	450	1702.8544688224792	181	59.77777777777778	
97.12	9.88	70.46	49.9	12	9	231	440	16	280	197	19	7	26	19	7	58	0	234.09904098510742	500	1936.9535098075867	208	58.4	
92.4	9.92	64.34	45.7	15	10	245	205	16	201	143	19	7	26	19	6	67	0	213.8130965232849	550	2150.7666063308716	233	57.63636363636363	
102.84	9.8	61.42	43.5	11	11	257	205	18	201	143	19	7	26	19	5	69	0	280.9510359764099	600	2431.7176423072815	268	55.333333333333336	
111.08	9.58	55.9	39.58	16	12	269	245	18	201	143	19	7	26	19	4	74	0	273.87044644355774	650	2705.5880887508392	300	53.84615384615385	
118.1	9.52	54.58	38.54	23	13	284	245	18	201	143	34	7	26	19	3	76	0	277.28832960128784	700	2982.876418352127	333	52.42857142857143	
123.12	9.62	56.56	39.98	24	14	301	245	18	201	143	45	7	26	19	3	78	0	266.57458901405334	750	3249.4510073661804	364	51.46666666666667	
127.7	9.44	55.82	39.44	30	15	328	281	18	201	143	45	7	26	19	3	79	0	170.95676636695862	800	3420.407773733139	385	51.875	
134.34	9.12	52.98	37.4	34	16	347	281	16	201	143	45	7	26	19	3	79	0	239.26331615447998	850	3659.671089887619	416	51.05882352941176	
141.16	8.66	48.12	33.92	38	17	366	281	15	136	97	45	7	26	19	3	81	0	225.6503677368164	900	3885.3214576244354	444	50.666666666666664	
131.88	8.58	47.58	33.48	43	18	381	281	15	136	97	45	7	28	19	3	83	0	273.9963548183441	950	4159.3178124427795	476	49.89473684210526	
140.4	8.62	48.08	33.84	48	19	397	281	15	136	97	45	7	28	19	3	86	0	239.2749104499817	1000	4398.592722892761	504	49.6	
141.72	8.88	52.6	37.12	50	20	409	281	15	162	117	60	7	28	19	2	90	0	276.603120803833	1050	4675.195843696594	538	48.76190476190476	
149.18	8.9	50.38	35.46	50	21	419	288	15	136	97	60	7	28	19	2	92	0	298.70244884490967	1100	4973.898292541504	575	47.72727272727273	
147.5	8.98	50.96	35.88	50	22	435	288	15	136	97	60	7	28	19	2	95	0	241.7523787021637	1150	5215.650671243668	605	47.39130434782609	
144.72	9.2	53.38	37.64	50	23	452	288	15	136	97	60	7	28	19	2	98	0	225.19312167167664	1200	5440.843792915344	635	47.083333333333336	
151.62	9.14	51.86	36.6	50	24	469	288	15	136	97	60	7	28	19	2	101	0	217.08114957809448	1250	5657.924942493439	664	46.88	
155.58	9.24	52.94	37.38	50	25	482	288	15	136	97	60	7	28	19	2	106	0	231.08399772644043	1300	5889.008940219879	695	46.53846153846154	
158.16	9.08	50.78	35.82	50	26	503	288	15	133	93	60	7	28	19	2	110	0	183.2426347732544	1350	6072.2515749931335	720	46.666666666666664	
161.84	9.32	53.12	37.48	50	27	514	288	15	133	93	60	7	28	19	2	112	0	271.10951924324036	1400	6343.361094236374	757	45.92857142857143	
168.52	9.3	52.62	37.16	50	28	531	297	15	133	93	60	7	28	19	2	117	0	209.39196825027466	1450	6552.753062486649	785	45.862068965517246	
174.64	9.32	52.9	37.32	50	29	547	297	15	133	93	60	7	25	18	2	120	0	224.67756724357605	1500	6777.430629730225	815	45.666666666666664	
172.62	9.42	53.56	37.82	50	30	563	297	15	133	93	60	7	25	18	2	123	0	235.42718720436096	1550	7012.857816934586	844	45.54838709677419	
179.86	9.44	53.72	37.86	49	31	578	297	15	133	93	60	7	25	18	3	127	0	233.55947065353394	1600	7246.4172875881195	875	45.3125	
180.48	9.4	54.4	38.3	50	32	596	297	15	133	93	60	7	28	19	2	129	0	227.18322277069092	1650	7473.60051035881	905	45.151515151515156	
182.7	9.2	51.8	36.4	50	33	613	297	15	133	93	60	7	28	19	2	130	0	245.3666512966156	1700	7718.967161655426	937	44.88235294117647	
182.76	9.24	52.4	36.86	50	34	621	312	15	133	93	60	7	28	19	2	134	0	295.5258343219757	1750	8014.492995977402	975	44.285714285714285	
180.72	9.4	54.94	38.6	50	35	641	312	15	133	93	60	7	28	19	2	139	0	193.6919596195221	1800	8208.184955596924	999	44.49999999999999	
177.14	9.32	51.2	35.92	50	36	655	312	15	133	93	60	7	28	19	2	144	0	235.05071210861206	1850	8443.235667705536	1027	44.486486486486484	
178.46	9.36	51.18	35.92	50	37	662	333	15	133	93	60	8	29	20	2	151	0	270.03948760032654	1900	8713.275155305862	1062	44.10526315789474	
174.6	9.18	48.02	33.72	50	38	676	333	15	106	73	60	8	29	20	2	155	0	238.37372040748596	1950	8951.648875713348	1091	44.05128205128205	
171.34	9.16	47.54	33.38	50	39	686	333	15	106	73	60	8	29	20	2	156	0	292.90377974510193	2000	9244.55265545845	1130	43.50000000000001	
174.22	9.42	50.06	35.22	50	40	700	312	15	117	84	60	8	29	20	2	160	0	236.8196303844452	2050	9481.372285842896	1161	43.365853658536594	
179.36	9.44	50.98	35.88	50	41	712	312	15	181	129	60	8	29	20	2	162	0	261.82097840309143	2100	9743.193264245987	1195	43.095238095238095	
176.72	9.28	48.42	34.0	49	42	730	312	15	118	84	60	8	28	20	3	164	0	221.00001192092896	2150	9964.193276166916	1225	43.02325581395349	
175.98	9.32	48.96	34.4	50	43	753	312	15	118	84	60	8	28	20	2	166	0	187.18776512145996	2200	10151.381041288376	1248	43.27272727272727	
176.54	9.3	48.56	34.12	50	44	767	312	15	118	84	60	8	28	20	2	169	0	245.43391466140747	2250	10396.814955949783	1281	43.06666666666666	
177.48	9.3	48.52	34.1	50	45	786	312	15	118	84	60	8	28	20	2	170	0	213.98829245567322	2300	10610.803248405457	1311	43.00000000000001	
