ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1496.596	11.758	1428.868	997.93	3	0	0	29394	17	28158	19596	25	7	24	17	59	136	0	3252.520495414734	500	3252.520495414734	364	27.200000000000003	
286.61	10.528	248.498	174.106	4	1	287	5118	20	4872	3412	15	7	24	17	54	139	0	634.400979757309	1000	3886.921475172043	570	43.00000000000001	
273.548	10.498	215.03	150.598	3	2	528	5118	20	4872	3412	13	7	24	17	59	140	0	807.7470006942749	1500	4694.668475866318	819	45.4	
278.264	10.746	221.042	154.844	4	3	767	5118	20	4872	3412	13	7	24	17	67	142	0	791.0517060756683	2000	5485.720181941986	1070	46.5	
218.888	10.354	158.06	110.846	4	4	938	5118	20	4872	3412	13	7	24	17	80	143	0	929.7799451351166	2500	6415.500127077103	1379	44.84	
203.45	9.976	137.958	96.83	4	5	1088	5118	20	4872	3412	13	7	24	17	87	144	0	987.518896818161	3000	7403.019023895264	1716	42.800000000000004	
168.39	9.718	92.37	64.96	5	6	1211	4603	20	4393	3069	13	7	24	17	71	145	0	1060.7588529586792	3500	8463.777876853943	2079	40.6	
151.834	9.372	65.972	46.482	10	7	1323	4603	20	4393	3069	13	7	24	17	53	148	0	1098.779367685318	4000	9562.55724453926	2442	38.949999999999996	
150.452	9.242	62.112	43.734	16	8	1448	4603	20	4393	3069	13	7	24	17	45	151	0	1087.840188741684	4500	10650.397433280945	2793	37.93333333333333	
144.298	9.174	59.296	41.73	18	9	1559	4603	19	4393	3069	13	7	24	17	40	156	0	1087.4401862621307	5000	11737.837619543076	3166	36.68	
139.562	9.052	57.384	40.346	5	10	1675	4603	19	4393	3069	13	7	24	17	36	161	0	1168.6629428863525	5500	12906.500562429428	3528	35.854545454545445	
