ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1439.728	11.854	1365.752	960.02	32	0	0	24060	17	22911	16040	27	7	25	18	87	302	0	3992.9109642505646	500	3992.9109642505646	198	60.4	
137.762	9.591397849462366	97.20698924731182	68.34408602150538	51	1	301	1188	20.0	1133.0	792.0	15	7.0	25.0	18.0	128	332	0	1466.9090023040771	1000	5459.819966554642	360	64.0	
156.164	9.596	84.544	59.516	73	2	558	1188	19	1133	792	20	7	25	18	173	385	0	1556.550857782364	1500	7016.370824337006	543	63.800000000000004	
167.204	9.852	89.276	62.878	106	3	766	1188	20	1133	792	17	7	25	18	210	440	0	1935.1956715583801	2000	8951.566495895386	772	61.4	
181.742	9.984	90.462	63.744	138	4	956	1188	20	1133	792	17	7	25	18	176	487	0	2360.12891292572	2500	11311.695408821106	1030	58.800000000000004	
182.928	10.026	78.982	55.79	170	5	1147	1188	20	1133	792	17	7	25	18	105	516	0	2238.7882509231567	3000	13550.483659744263	1299	56.7	
186.852	9.886	74.066	52.298	198	6	1335	1188	20	1133	792	17	7	25	18	49	563	0	2000.4409334659576	3500	15550.92459321022	1553	55.628571428571426	
187.574	9.826	67.962	48.06	237	7	1498	625	20	600	417	17	7	25	18	9	603	0	2336.9806685447693	4000	17887.90526175499	1832	54.199999999999996	
183.31	9.718	63.93	45.274	280	8	1659	625	20	600	417	17	7	25	18	5	652	0	2565.3513011932373	4500	20453.256562948227	2113	53.044444444444444	
181.632	9.746	61.232	43.41	312	9	1853	592	20	564	395	20	7	25	18	4	699	0	2232.9946596622467	5000	22686.251222610474	2361	52.78	
