ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	
133.12	8.66	131.04	88.9	3	0	0	904	11	893	603	16	7	15	11	16	0	0	85.27276396751404	50	85.27276396751404	
115.08	8.92	98.18	66.72	3	1	31	747	16	736	498	10	7	15	11	9	0	0	35.52754497528076	100	120.8003089427948	
129.74	9.16	88.08	59.86	3	2	57	747	16	736	498	10	7	15	11	10	0	0	38.95757746696472	150	159.75788640975952	
173.94	9.5	95.46	64.64	4	3	84	747	16	736	498	10	8	15	11	10	0	0	31.544082403182983	200	191.3019688129425	
157.32	9.32	93.8	63.5	2	4	105	747	16	736	498	16	7	15	11	12	0	0	42.63696217536926	250	233.93893098831177	
157.62	9.44	95.92	64.84	2	5	130	747	16	736	498	16	8	15	11	13	0	0	35.396546363830566	300	269.33547735214233	
162.12	9.38	98.92	66.82	2	6	156	747	16	736	498	16	8	15	11	11	0	0	40.24573516845703	350	309.58121252059937	
156.24	9.34	91.04	61.6	2	7	181	747	16	736	498	16	8	15	11	11	0	0	31.995720624923706	400	341.57693314552307	
157.66	9.4	91.38	61.76	2	8	195	747	16	736	498	16	8	15	11	11	0	0	46.9762167930603	450	388.5531499385834	
151.72	9.3	88.0	59.44	3	9	226	747	16	736	498	15	8	15	11	12	0	0	25.125760316848755	500	413.67891025543213	
147.7	9.4	89.0	59.96	3	10	246	747	16	736	498	16	8	15	11	11	0	0	38.495002031326294	550	452.1739122867584	
140.94	9.36	86.58	58.4	4	11	260	747	16	736	498	16	8	15	11	11	0	0	43.06482195854187	600	495.2387342453003	
141.02	9.38	87.14	58.76	4	12	280	747	16	736	498	16	8	15	11	11	0	0	39.034199714660645	650	534.2729339599609	
133.34	9.28	73.76	49.84	5	13	299	747	16	736	498	16	8	15	11	10	0	0	52.351078033447266	700	586.6240119934082	
136.28	9.26	73.08	49.4	5	14	323	747	16	736	498	16	8	15	11	10	0	0	51.700146198272705	750	638.3241581916809	
133.44	9.3	74.4	50.3	5	15	332	747	16	736	498	16	8	15	11	10	0	0	66.70685601234436	800	705.0310142040253	
137.26	9.24	71.52	48.38	6	16	353	747	16	736	498	16	8	15	11	10	0	0	36.46881604194641	850	741.4998302459717	
137.6	9.22	69.84	47.34	6	17	367	747	16	736	498	16	8	15	11	9	0	0	43.198896169662476	900	784.6987264156342	
139.78	9.18	67.92	46.12	6	18	378	747	16	736	498	16	8	15	11	11	0	0	47.65819072723389	950	832.356917142868	
127.96	9.1	53.2	36.18	5	19	389	328	16	253	170	16	8	15	11	11	0	0	47.35745429992676	1000	879.7143714427948	
128.44	9.1	51.76	35.22	4	20	396	328	16	253	170	15	8	15	11	12	0	0	52.591978549957275	1050	932.3063499927521	
126.78	8.84	43.8	29.86	4	21	411	328	16	176	123	15	8	15	11	11	0	0	41.33452343940735	1100	973.6408734321594	
127.48	8.8	44.58	30.32	4	22	424	316	16	176	123	15	8	15	11	11	0	0	44.35399389266968	1150	1017.9948673248291	
131.04	8.74	42.9	29.16	4	23	439	316	16	176	123	15	8	15	11	11	0	0	41.23852014541626	1200	1059.2333874702454	
133.54	8.66	39.9	27.24	4	24	452	316	16	176	123	15	8	15	11	11	0	0	44.47450852394104	1250	1103.7078959941864	
131.7	8.62	38.48	26.32	4	25	463	316	16	176	123	15	8	15	11	11	0	0	45.014466285705566	1300	1148.722362279892	
131.92	8.62	36.9	25.32	4	26	475	316	16	176	123	15	8	15	11	11	0	0	45.48456168174744	1350	1194.2069239616394	
135.48	8.62	36.26	24.96	4	27	491	316	16	176	123	13	8	15	11	12	0	0	40.10998463630676	1400	1234.3169085979462	
134.86	8.54	34.36	23.7	4	28	502	316	16	176	123	13	8	15	11	12	0	0	47.5329532623291	1450	1281.8498618602753	
132.4	8.54	34.22	23.6	4	29	514	316	16	176	123	13	8	15	11	11	0	0	44.1759991645813	1500	1326.0258610248566	
130.78	8.56	34.1	23.56	4	30	526	316	16	176	123	13	8	15	11	11	0	0	45.939064264297485	1550	1371.964925289154	
129.3	8.5	32.58	22.54	3	31	538	279	16	176	123	16	8	15	11	12	0	0	46.234496116638184	1600	1418.1994214057922	
129.44	8.46	30.98	21.5	3	32	553	279	16	176	123	16	8	15	11	12	0	0	45.71539568901062	1650	1463.9148170948029	
130.16	8.44	30.3	21.06	3	33	560	263	16	176	123	18	8	15	11	13	0	0	65.40493583679199	1700	1529.3197529315948	
129.2	8.44	30.04	20.9	4	34	571	263	16	176	123	18	8	15	11	12	0	0	66.5278549194336	1750	1595.8476078510284	
129.34	8.44	30.12	20.94	4	35	585	263	16	176	123	18	8	15	11	12	0	0	50.203200578689575	1800	1646.050808429718	
133.56	8.44	30.12	20.94	4	36	597	263	16	176	123	18	8	15	11	11	0	0	51.09304904937744	1850	1697.1438574790955	
130.72	8.44	30.12	20.94	4	37	606	263	16	176	123	18	8	15	11	11	0	0	51.40695333480835	1900	1748.5508108139038	
138.14	8.42	28.32	19.7	4	38	613	263	16	176	123	18	8	15	11	11	0	0	51.72255563735962	1950	1800.2733664512634	
143.96	8.42	28.4	19.74	4	39	624	263	16	176	123	18	8	15	11	10	0	0	47.925771951675415	2000	1848.1991384029388	
144.98	8.42	28.4	19.74	4	40	629	263	16	176	123	18	8	15	11	10	0	0	54.80206108093262	2050	1903.0011994838715	
144.5	8.42	28.48	19.78	4	41	639	263	16	176	123	18	8	15	11	9	0	0	50.19147562980652	2100	1953.192675113678	
145.94	8.42	28.82	19.98	4	42	647	263	16	176	123	18	8	15	11	9	0	0	50.694557905197144	2150	2003.8872330188751	
146.62	8.42	28.82	19.98	4	43	660	263	16	176	123	18	8	15	11	9	0	0	42.46209239959717	2200	2046.3493254184723	
145.12	8.42	28.82	19.98	4	44	670	263	16	176	123	18	8	15	11	10	0	0	45.37301325798035	2250	2091.7223386764526	
145.8	8.38	27.48	19.1	3	45	681	263	16	176	123	18	8	15	11	11	0	0	44.32099485397339	2300	2136.043333530426	
145.8	8.38	27.48	19.1	3	46	691	263	16	176	123	18	8	15	11	11	0	0	48.57646870613098	2350	2184.619802236557	
145.7	8.38	27.4	19.06	3	47	699	263	16	176	123	18	8	15	11	11	0	0	48.93408203125	2400	2233.553884267807	
145.06	8.34	24.52	17.14	4	48	705	263	16	176	123	18	8	15	11	10	0	0	50.2150514125824	2450	2283.7689356803894	
146.66	8.34	24.6	17.18	4	49	715	263	16	176	123	18	8	15	11	10	0	0	45.226937770843506	2500	2328.995873451233	
144.9	8.34	24.34	17.02	4	50	727	263	16	176	123	18	8	15	11	10	0	0	43.17572212219238	2550	2372.1715955734253	
147.6	8.34	24.42	17.06	3	51	746	263	16	176	123	18	8	15	11	10	0	0	34.621941566467285	2600	2406.7935371398926	
147.62	8.34	24.42	17.06	3	52	759	263	16	176	123	18	8	15	11	10	0	0	43.4280800819397	2650	2450.2216172218323	
148.54	8.34	24.42	17.06	3	53	766	263	16	176	123	18	8	15	11	10	0	0	49.42297291755676	2700	2499.644590139389	
148.34	8.34	24.34	17.02	3	54	773	263	16	176	123	18	8	15	11	10	0	0	49.15800142288208	2750	2548.802591562271	
148.08	8.34	24.34	17.02	3	55	785	263	16	176	123	18	8	15	11	10	0	0	43.61125731468201	2800	2592.413848876953	
147.02	8.34	24.42	17.06	3	56	793	263	16	176	123	18	8	15	11	10	0	0	48.042989015579224	2850	2640.4568378925323	
140.94	8.18	21.28	14.86	3	57	807	263	11	147	96	18	8	15	11	10	0	0	41.07313823699951	2900	2681.529976129532	
141.3	8.18	21.2	14.82	3	58	812	263	11	147	96	18	8	15	11	10	0	0	51.50864815711975	2950	2733.0386242866516	
141.22	8.18	21.28	14.86	3	59	824	263	11	147	96	18	8	15	11	10	0	0	43.585060119628906	3000	2776.6236844062805	
142.36	8.18	21.28	14.86	3	60	831	263	11	147	96	18	8	15	11	10	0	0	48.520628690719604	3050	2825.144313097	
142.36	8.18	21.28	14.86	3	60	831	263	11	147	96	18	8	15	11	10	0	0	48.520628690719604	3050	2825.144313097	
