ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	first_front	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	pareto_fronts	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
1409.554	11.83	1336.788	939.906	8	0	0	31063	17	29555	20709	28	7	26	19	26	303	0	6003.263123512268	500	6003.263123512268	500	0.0	
128.716	9.501312335958005	89.67979002624672	63.2257217847769	9	1	284	1234	20.0	1175.0	823.0	12	7.0	25.0	18.0	33	355	0	257.4043173789978	1000	6260.667440891266	711	28.900000000000006	
148.326	9.358	77.594	54.704	11	2	543	1234	19	1175	823	18	7	25	18	43	387	0	301.50076699256897	1500	6562.168207883835	945	37.0	
145.564	9.678	82.64	58.362	13	3	769	1234	20	1175	823	17	7	25	18	53	424	0	346.57948994636536	2000	6908.7476978302	1208	39.6	
152.686	9.714	84.934	59.962	18	4	990	1234	20	1175	823	17	7	25	18	49	466	0	343.46295166015625	2500	7252.210649490356	1481	40.76	
152.49	9.558	77.578	54.788	18	5	1204	1234	20	1175	823	18	7	25	18	31	501	0	353.3779718875885	3000	7605.588621377945	1758	41.400000000000006	
156.09	9.482	69.446	49.084	23	6	1404	1158	20	1102	772	12	7	25	18	25	528	0	384.2817907333374	3500	7989.870412111282	2048	41.48571428571428	
156.31	9.554	67.426	47.702	37	7	1572	1158	20	1102	772	15	7	25	18	21	568	0	401.91088366508484	4000	8391.781295776367	2366	40.849999999999994	
162.288	9.574	65.42	46.32	48	8	1750	1158	20	1102	772	15	7	25	18	18	612	0	395.01804280281067	4500	8786.799338579178	2676	40.53333333333333	
166.298	9.618	64.066	45.388	64	9	1907	1158	20	1102	772	10	7	25	18	16	648	0	394.54729890823364	5000	9181.346637487411	3011	39.78	
166.958	9.576	60.26	42.736	81	10	2061	1158	20	1102	772	15	7	25	18	14	699	0	400.25971364974976	5500	9581.606351137161	3345	39.18181818181819	
162.42	9.588	58.622	41.6	96	11	2221	1158	20	1102	772	15	7	25	18	12	737	0	413.6873846054077	6000	9995.293735742569	3675	38.74999999999999	
163.924	9.576	57.574	40.838	118	12	2391	1158	20	1102	772	15	7	25	18	11	787	0	395.0221242904663	6500	10390.315860033035	3992	38.58461538461538	
165.392	9.548	58.06	41.118	125	13	2551	1158	20	1102	772	18	7	25	18	11	827	0	429.79751539230347	7000	10820.113375425339	4323	38.24285714285715	
158.202	9.496	55.71	39.498	154	14	2718	1158	20	1102	772	18	7	25	18	7	868	0	409.4882447719574	7500	11229.601620197296	4649	38.013333333333335	
151.838	9.47	54.682	38.712	188	15	2893	1158	20	1102	772	18	7	25	18	7	914	0	391.96215987205505	8000	11621.563780069351	4962	37.975	
146.952	9.566	56.522	39.966	220	16	3038	1158	20	1102	772	18	7	25	18	7	965	0	430.3906033039093	8500	12051.95438337326	5307	37.564705882352946	
149.662	9.568	57.554	40.624	235	17	3221	1158	20	1102	772	18	7	25	18	7	1016	0	372.30415630340576	9000	12424.258539676666	5617	37.588888888888896	
151.766	9.482	56.938	40.114	236	18	3378	1158	20	1102	772	18	7	28	19	6	1057	0	410.3193566799164	9500	12834.577896356583	5945	37.421052631578945	
151.166	9.546	56.502	39.812	272	19	3544	1158	20	1102	772	18	7	28	19	5	1120	0	379.21366477012634	10000	13213.791561126709	6265	37.35000000000001	
145.072	9.518	53.962	38.008	304	20	3705	431	20	284	203	18	7	28	19	5	1154	0	438.1535987854004	10500	13651.94515991211	6595	37.1904761904762	
141.978	9.504	53.228	37.474	337	21	3874	431	20	240	169	18	7	28	19	4	1190	0	415.7055835723877	11000	14067.650743484497	6918	37.10909090909092	
138.702	9.476	52.252	36.78	378	22	4008	443	20	397	279	18	7	28	19	4	1232	0	462.70900440216064	11500	14530.359747886658	7273	36.756521739130434	
136.116	9.51	52.152	36.72	415	23	4152	443	20	397	279	18	7	28	19	3	1280	0	417.12608647346497	12000	14947.485834360123	7619	36.50833333333333	
132.904	9.424	52.394	36.868	464	24	4285	443	20	397	279	19	7	28	19	3	1321	0	442.6025366783142	12500	15390.088371038437	7970	36.24000000000001	
132.644	9.384	51.542	36.274	495	25	4451	443	20	397	279	19	7	28	19	3	1356	0	405.59071350097656	13000	15795.679084539413	8297	36.176923076923075	
130.116	9.328	49.204	34.62	500	26	4628	443	20	233	167	19	7	29	20	2	1390	0	408.0904006958008	13500	16203.769485235214	8610	36.22222222222222	
128.634	9.282	48.402	34.034	500	27	4761	443	20	232	166	19	7	29	20	2	1420	0	460.76278591156006	14000	16664.532271146774	8966	35.957142857142856	
126.9	9.264	48.162	33.866	500	28	4894	443	20	232	166	19	7	29	20	2	1470	0	448.739853143692	14500	17113.272124290466	9322	35.7103448275862	
127.486	9.284	48.242	33.918	500	29	5051	443	20	232	166	19	7	29	20	2	1519	0	421.37110233306885	15000	17534.643226623535	9655	35.633333333333326	
125.616	9.238	48.09	33.8	500	30	5199	443	20	232	166	19	7	29	20	2	1560	0	440.52159237861633	15500	17975.16481900215	9996	35.50967741935483	
123.864	9.238	47.798	33.602	500	31	5331	443	20	263	188	19	7	29	20	2	1594	0	457.0961174964905	16000	18432.260936498642	10356	35.275000000000006	
122.04	9.254	47.828	33.626	500	32	5473	443	20	263	188	19	8	29	20	2	1620	0	432.46701526641846	16500	18864.72795176506	10702	35.13939393939394	
121.518	9.308	48.032	33.778	500	33	5626	443	20	263	188	19	8	29	20	2	1659	0	407.26005268096924	17000	19271.98800444603	11037	35.076470588235296	
123.046	9.344	47.696	33.562	500	34	5768	443	20	263	188	19	8	29	20	2	1695	0	433.39938473701477	17500	19705.387389183044	11384	34.94857142857143	
124.428	9.368	47.76	33.616	500	35	5905	443	20	263	188	19	8	29	20	2	1725	0	396.12459802627563	18000	20101.51198720932	11735	34.80555555555556	
122.768	9.352	47.89	33.698	500	36	6066	443	20	263	188	19	8	29	20	2	1766	0	351.9917719364166	18500	20453.503759145737	12065	34.78378378378379	
121.912	9.358	47.806	33.644	500	37	6213	443	20	263	188	19	8	29	20	2	1799	0	443.0294859409332	19000	20896.53324508667	12412	34.67368421052632	
122.11	9.252	46.796	32.916	500	38	6377	443	20	263	188	19	8	29	20	2	1833	0	414.4107913970947	19500	21310.944036483765	12731	34.712820512820514	
123.384	9.212	46.388	32.628	500	39	6554	443	20	263	188	19	8	29	20	2	1853	0	415.54486656188965	20000	21726.488903045654	13047	34.765	
124.966	9.28	47.08	33.122	493	40	6719	431	20	263	188	18	8	29	20	3	1894	0	412.660621881485	20500	22139.14952492714	13372	34.77073170731707	
125.024	9.334	47.404	33.362	500	41	6879	431	20	263	188	17	8	29	20	2	1932	0	414.92485332489014	21000	22554.07437825203	13703	34.747619047619054	
122.948	9.254	46.432	32.672	500	42	7023	431	20	263	188	17	8	29	20	2	1966	0	444.81515622138977	21500	22998.88953447342	14044	34.67906976744186	
121.36	9.246	46.632	32.818	500	43	7157	431	19	263	188	17	8	28	20	2	2010	0	457.6266219615936	22000	23456.516156435013	14400	34.54545454545455	
123.256	9.206	46.188	32.494	500	44	7310	431	19	263	188	17	8	28	20	2	2053	0	429.6557331085205	22500	23886.171889543533	14737	34.50222222222223	
125.874	9.166	46.276	32.54	500	45	7446	431	19	263	188	17	8	28	20	2	2090	0	449.87293910980225	23000	24336.044828653336	15089	34.395652173913035	
125.444	9.1	45.504	31.99	500	46	7597	431	19	263	188	17	8	28	20	2	2124	0	442.17013907432556	23500	24778.21496772766	15423	34.37021276595745	
126.174	9.02	45.08	31.682	500	47	7751	431	19	263	188	17	8	28	20	2	2160	0	441.7687101364136	24000	25219.983677864075	15757	34.34583333333333	
124.902	8.994	45.126	31.714	500	48	7906	431	18	263	188	17	8	28	20	2	2200	0	416.0883238315582	24500	25636.072001695633	16092	34.31836734693877	
123.646	8.928	45.084	31.682	500	49	8055	431	18	263	188	17	8	28	20	2	2230	0	440.3084616661072	25000	26076.38046336174	16433	34.268	
123.142	8.89	44.894	31.538	500	50	8206	431	18	263	188	17	8	28	20	2	2273	0	426.09256982803345	25500	26502.473033189774	16771	34.23137254901961	
123.522	8.862	44.702	31.396	500	51	8366	431	18	263	188	17	8	28	20	2	2306	0	420.073627948761	26000	26922.546661138535	17099	34.23461538461538	
121.502	8.838	44.746	31.422	500	52	8527	431	18	263	188	17	8	28	20	2	2343	0	419.3501229286194	26500	27341.896784067154	17422	34.2566037735849	
119.948	8.79	44.538	31.264	500	53	8674	431	18	263	188	17	8	28	20	2	2389	0	430.2729947566986	27000	27772.169778823853	17763	34.21111111111111	
121.608	8.754	42.676	29.954	500	54	8821	431	18	188	133	17	8	28	20	2	2436	0	424.30989146232605	27500	28196.47967028618	18098	34.18909090909091	
121.114	8.766	42.918	30.13	500	55	8975	431	18	188	133	17	8	28	20	2	2477	0	408.4107573032379	28000	28604.890427589417	18431	34.175	
121.048	8.758	42.756	30.004	500	56	9119	431	18	188	133	17	7	28	20	2	2519	0	437.3961250782013	28500	29042.286552667618	18774	34.12631578947368	
119.274	8.784	42.652	29.952	500	57	9256	413	18	188	133	17	7	27	19	2	2551	0	453.8978672027588	29000	29496.184419870377	19126	34.04827586206896	
118.5	8.822	43.222	30.352	500	58	9416	413	18	188	133	17	7	27	19	2	2585	0	401.8654854297638	29500	29898.04990530014	19450	34.06779661016948	
116.252	8.81	43.052	30.23	500	59	9563	413	18	188	133	17	7	27	19	2	2622	0	441.6577515602112	30000	30339.70765686035	19791	34.03	
117.72	8.796	43.416	30.468	500	60	9703	413	18	164	115	23	7	27	19	2	2665	0	438.898494720459	30500	30778.60615158081	20142	33.96065573770491	
117.72	8.796	43.416	30.468	500	60	9703	413	18	164	115	23	7	27	19	2	2665	0	438.898494720459	30500	30778.60615158081	20142	33.96065573770491	
